,project name,benefit,complexity
0,Project_1,High,Easy
1,Project_2,High,Medium
2,Project_3,High,Medium
3,Project_4,Medium,Easy
4,Project_5,High,Difficult
5,Project_6,Medium,Difficult
6,Project_7,Low,Easy
7,Project_8,Low,Easy
8,Project_9,Medium,Easy
9,Project_10,Low,Easy
10,Project_11,High,Medium
11,Project_12,Medium,Difficult
12,Project_13,Medium,Difficult
13,Project_14,Medium,Easy
14,Project_15,High,Easy
15,Project_16,Medium,Medium
16,Project_17,Medium,Medium
17,Project_18,Medium,Difficult
18,Project_19,Medium,Easy
19,Project_20,Low,Medium
20,Project_21,Medium,Difficult
21,Project_22,Medium,Difficult
22,Project_23,High,Easy
23,Project_24,High,Difficult
24,Project_25,Low,Difficult
25,Project_26,Low,Medium
26,Project_27,Low,Medium
27,Project_28,Medium,Easy
28,Project_29,High,Difficult
29,Project_30,Low,Easy
30,Project_31,Medium,Difficult
31,Project_101,Excellent,Dam Tough
